"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions"
"Ankylosaurus","MM","Huge","beast","unaligned","15 (natural armor)","68 (8d12 + 16)","30 ft.","19","11","15","2","12","5","","","","","","","passive Perception 11","—","3 (700 XP)",""," Tail. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 18 (4d6 + 4) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.","",""
"Basilisk","MM","Medium","monstrosity","unaligned","15 (natural armor)","52 (8d8 + 16)","20 ft.","16","8","15","2","8","7","","","","","","","darkvision 60 ft., passive Perception 9","—","3 (700 XP)"," Petrifying Gaze. If a creature starts its turn within 30 feet of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn't incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic.A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the basilisk until the start of its next turn, when it can avert its eyes again. If it looks at the basilisk in the meantime, it must immediately make the save.If the basilisk sees its reflection within 30 feet of it in bright light, it mistakes itself for a rival and targets itself with its gaze."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage plus 7 (2d6) poison damage.","",""
"Doppelganger","MM","Medium","monstrosity (shapechanger)","neutral","14","52 (8d8 + 16)","30 ft.","11","18","14","11","12","14","","Deception +6, Insight +3","","","","charmed","darkvision 60 ft., passive Perception 11","Common","3 (700 XP)"," Shapechanger. The doppelganger can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies. Ambusher. In the first round of a combat, the doppelganger has advantage on attack rolls against any creature it surprised. Surprise Attack. If the doppelganger surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 10 (3d6) damage from the attack."," Multiattack. The doppelganger makes two melee attacks. Slam. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage. Read Thoughts. The doppelganger magically reads the surface thoughts of one creature within 60 feet of it. The effect can penetrate barriers, but 3 feet of wood or dirt, 2 feet of stone, 2 inches of metal, or a thin sheet of lead blocks it. While the target is in range, the doppelganger can continue reading its thoughts, as long as the doppelganger's concentration isn't broken (as if concentrating on a spell). While reading the target's mind, the doppelganger has advantage on Wisdom (Insight) and Charisma (Deception, Intimidation, and Persuasion) checks against the target.","",""
"Giant Scorpion","MM","Large","beast","unaligned","15 (natural armor)","52 (7d10 + 14)","40 ft.","15","13","15","1","9","3","","","","","","","blindsight 60 ft., passive Perception 9","—","3 (700 XP)",""," Multiattack. The scorpion makes three attacks: two with its claws and one with its sting. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) bludgeoning damage, and the target is grappled (escape DC 12). The scorpion has two claws, each of which can grapple only one target. Sting. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target must make a DC 12 Constitution saving throw, taking 22 (4d10) poison damage on a failed save, or half as much damage on a successful one.","",""
"Hell Hound","MM","Medium","fiend","lawful evil","15 (natural armor)","45 (7d8 + 14)","50 ft.","17","12","14","6","13","6","","Perception +5","","","fire","","darkvision 60 ft., passive Perception 15","understands Infernal but can't speak it","3 (700 XP)"," Keen Hearing and Smell. The hound has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The hound has advantage on an attack roll against a creature if at least one of the hound's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 7 (2d6) fire damage. Fire Breath (Recharge 5–6). The hound exhales fire in a 15-foot cone. Each creature in that area must make a DC 12 Dexterity saving throw, taking 21 (6d6) fire damage on a failed save, or half as much damage on a successful one.","",""
"Killer Whale","MM","Huge","beast","unaligned","12 (natural armor)","90 (12d12 + 12)","0 ft., swim 60 ft.","19","10","13","3","12","7","","Perception +3","","","","","blindsight 120 ft., passive Perception 13","—","3 (700 XP)"," Echolocation. The whale can't use its blindsight while deafened. Hold Breath. The whale can hold its breath for 30 minutes. Keen Hearing. The whale has advantage on Wisdom (Perception) checks that rely on hearing."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 21 (5d6 + 4) piercing damage.","",""
"Knight","MM","Medium","humanoid (any race)","any alignment","18 (plate armor)","52 (8d8 + 16)","30 ft.","16","11","14","11","11","15","Con +4, Wis +2","","","","","","passive Perception 10","any one language (usually Common)","3 (700 XP)"," Brave. The knight has advantage on saving throws against being frightened."," Multiattack. The knight makes two melee attacks. Greatsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage. Heavy Crossbow. Ranged Weapon Attack: +2 to hit, range 100/400 ft., one target. Hit: 5 (1d10) piercing damage. Leadership (Recharges after a Short or Long Rest). For 1 minute, the knight can utter a special command or warning whenever a nonhostile creature that it can see within 30 feet of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the knight. A creature can benefit from only one Leadership die at a time. This effect ends if the knight is incapacitated.",""," Parry. The knight adds 2 to its AC against one melee attack that would hit it. To do so, the knight must see the attacker and be wielding a melee weapon."
"Manticore","MM","Large","monstrosity","lawful evil","14 (natural armor)","68 (8d10 + 24)","30 ft., fly 50 ft.","17","16","17","7","12","8","","","","","","","darkvision 60 ft., passive Perception 11","Common","3 (700 XP)"," Tail Spike Regrowth. The manticore has twenty-four tail spikes. Used spikes regrow when the manticore finishes a long rest."," Multiattack. The manticore makes three attacks: one with its bite and two with its claws or three with its tail spikes. Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage. Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage. Tail Spike. Ranged Weapon Attack: +5 to hit, range 100/200 ft., one target. Hit: 7 (1d8 + 3) piercing damage.","",""
"Minotaur","MM","Large","monstrosity","chaotic evil","14 (natural armor)","76 (9d10 + 27)","40 ft.","18","11","16","6","16","9","","Perception +7","","","","","darkvision 60 ft., passive Perception 17","Abyssal","3 (700 XP)"," Charge. If the minotaur moves at least 10 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) piercing damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be pushed up to 10 feet away and knocked prone. Labyrinthine Recall. The minotaur can perfectly recall any path it has traveled. Reckless. At the start of its turn, the minotaur can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn."," Greataxe. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 17 (2d12 + 4) slashing damage. Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.","",""
"Mummy","MM","Medium","undead","lawful evil","11 (natural armor)","58 (9d8 + 18)","20 ft.","16","8","15","6","10","12","Wis +2","","fire","bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison","charmed, exhaustion, frightened, paralyzed, poisoned","darkvision 60 ft., passive Perception 10","the languages it knew in life","3 (700 XP)",""," Multiattack. The mummy can use its Dreadful Glare and makes one attack with its rotting fist. Rotting Fist. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage plus 10 (3d6) necrotic damage. If the target is a creature, it must succeed on a DC 12 Constitution saving throw or be cursed with mummy rot. The cursed target can't regain hit points, and its hit point maximum decreases by 10 (3d6) for every 24 hours that elapse. If the curse reduces the target's hit point maximum to 0, the target dies, and its body turns to dust. The curse lasts until removed by the remove curse spell or other magic. Dreadful Glare. The mummy targets one creature it can see within 60 feet of it. If the target can see the mummy, it must succeed on a DC 11 Wisdom saving throw against this magic or become frightened until the end of the mummy's next turn. If the target fails the saving throw by 5 or more, it is also paralyzed for the same duration. A target that succeeds on the saving throw is immune to the Dreadful Glare of all mummies (but not mummy lords) for the next 24 hours.","",""
