"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Aarakocra","MM","Medium","humanoid (aarakocra)","neutral good","12","13 (3d8)","20 ft., fly 50 ft.","10","14","10","11","12","11","","Perception +5","","","","","passive Perception 15","Auran, Aarakocra","1/4 (50 XP)"," Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target."," Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.","","","","","","","Mountain"
"Aarakocra Simulacrum","SKT","Medium","humanoid (aarakocra)","neutral good","12","6 (3d4)","20 ft., fly 50 ft.","10","14","10","11","12","11","","Perception +5","","","","","passive Perception 15","Auran, Aarakocra","1/8 (25 XP)"," Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target. Simulacra. When a simulacrum drops to 0 hit points or is subjected to a successful dispel magic spell (DC 17), it reverts to ice and snow and is destroyed."," Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.","","","","","","",""
"Aarakocra Spelljammer","LoX","Medium","humanoid (aarakocra)","any alignment","12 (15 with mage armor)","40 (9d8)","30 ft., fly 50 ft.","9","14","11","17","12","11","Int +6, Wis +4","Arcana +6, History +6","","","","","passive Perception 11","any four languages","6 (2,300 XP)"," Spellcasting. The aarakocra is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The aarakocra has the following wizard spells prepared:Cantrips (at will): fire bolt, light, mage hand, prestidigitation1st level (4 slots): detect magic, mage armor, magic missile, shield2nd level (3 slots): misty step, suggestion3rd level (3 slots): counterspell, fireball, fly4th level (3 slots): greater invisibility, ice storm5th level (1 slot): cone of cold"," Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","",""
"Aartuk Elder","BAM","Large","plant","lawful evil","16 (natural armor)","75 (10d10 + 20)","20 ft., climb 20 ft.","18","10","15","12","14","12","","","","","","","darkvision 60 ft., passive Perception 12","Aartuk","2 (450 XP)"," Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each. Branch. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. Radiant Pellet. Ranged Spell Attack: +4 to hit, range 60 ft., one target. Hit: 10 (4d4) radiant damage. Spellcasting (Psionics). The aartuk casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability (spell save DC 12):1/day each: calm emotions, detect magic, sending"," Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Large or smaller creature it can see within 30 feet of itself. The target must make a DC 12 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 14) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time.","","","","","",""
"Aartuk Priest","BAM","Medium","plant","lawful evil","14 (natural armor)","52 (8d8 + 16)","20 ft., climb 20 ft.","12","10","14","13","16","10","","Religion +3","","","","","darkvision 60 ft., passive Perception 13","Aartuk","2 (450 XP)"," Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each. Branch. Melee Weapon Attack: +3 to hit, reach 10 ft., one target. Hit: 8 (2d6 + 1) bludgeoning damage. Radiant Pellet. Ranged Spell Attack: +2 to hit, range 60 ft., one target. Hit: 7 (3d4) radiant damage. Spellcasting (Psionics). The aartuk casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability:1/day each: revivify, tongues"," Rally the Troops (1/Day). The aartuk magically ends the charmed and frightened conditions on itself and each creature of its choice that it can see within 30 feet of itself. Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Medium or smaller creature it can see within 30 feet of itself. The target must make a DC 12 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 11) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time.","","","","","",""
"Aartuk Warrior","BAM","Medium","plant","lawful evil","15 (natural armor)","38 (7d8 + 7)","20 ft., climb 20 ft.","14","12","13","10","13","10","","","","","","","darkvision 60 ft., passive Perception 11","Aartuk","2 (450 XP)"," Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each. Branch. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 8 (2d6 + 2) bludgeoning damage. Radiant Pellet. Ranged Spell Attack: +3 to hit, range 60 ft., one target. Hit: 7 (3d4 + 1) radiant damage."," Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Medium or smaller creature it can see within 30 feet of itself. The target must make a DC 11 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 12) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time.","","","","","",""
"Aberrant Spirit","TCE","Medium","aberration","unaligned","11 + the level of the spell (natural armor)","40 + 10 for each spell level above 4th","30 ft., fly 30 ft. (beholderkin only; hover)","16","10","15","16","10","6","","","","","psychic","","darkvision 60 ft., passive Perception 10","Deep Speech, understands the languages you speak",""," Regeneration (Slaad Only). The aberration regains 5 hit points at the start of its turn if it has at least 1 hit point. Whispering Aura (Star Spawn Only). At the start of each of the aberration's turns, each creature within 5 feet of the aberration must succeed on a Wisdom saving throw against your spell save DC or take 2d6 psychic damage, provided that the aberration isn't incapacitated."," Multiattack. The aberration makes a number of attacks equal to half this spell's level (rounded down). Eye Ray (Beholderkin Only). Ranged Spell Attack: your spell attack modifier to hit, range 150 ft., one creature. Hit: 1d8 + 3 + the spell's level psychic damage. Claws (Slaad Only). Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d10 + 3 + the spell's level slashing damage. If the target is a creature, it can't regain hit points until the start of the aberration's next turn. Psychic Slam (Star Spawn Only). Melee Spell Attack: your spell attack modifier to hit, reach 5 ft., one creature. Hit: 1d8 + 3 + the spell's level psychic damage.","","","","","","",""
"Abhorrent Overlord","MOT","Large","fiend","lawful evil","16 (natural armor)","136 (16d10 + 48)","30 ft., fly 60 ft.","20","18","16","15","14","16","Con +7, Cha +7","Deception +7, Intimidation +7, Persuasion +7","","cold, necrotic","poison","poisoned","darkvision 120 ft., passive Perception 12","Abyssal, Common, Infernal","9 (5,000 XP)"," Innate Spellcasting. The abhorrent overlord's spellcasting ability is Charisma (spell save DC 15). It can innately cast the following spells, requiring no material components:1/day each: confusion, crown of madness, suggestion Insatiable Greed. The abhorrent overlord can sense the presence of gold within 1,000 feet of itself. It can determine which location has the greatest amount of gold and can sense the direction to that site. If the gold is being moved, it knows the direction of the movement. It can't locate gold if any thickness of clay or lead, even a thin sheet, blocks a direct path between it and the gold. Magic Resistance. The abhorrent overlord has advantage on saving throws against spells and other magical effects."," Multiattack. The abhorrent overlord makes two attacks with its claws. Claws. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) slashing damage plus 14 (4d6) necrotic damage. The abhorrent overlord regains hit points equal to half the amount of necrotic damage dealt if the target is a creature. Storm of Crows (Recharge 6). The abhorrent overlord conjures a swarm of spectral crows and harpies in a 20-foot-radius sphere centered on a point the overlord can see within 120 feet of it. The sphere remains for 1 minute or until the overlord loses concentration (as if concentrating on a spell), and its area is lightly obscured and difficult terrain.Any creature that moves into the area for the first time on a turn or starts its turn there must make a DC 15 Constitution saving throw. A creature takes 16 (3d10) slashing damage plus 16 (3d10) psychic damage on a failed save, or half as much damage on a successful one.","","","","","","",""
"Abjurer Wizard","MPMM","Medium","humanoid","any alignment","12 (15 with mage armor)","104 (16d8 + 32)","30 ft.","9","14","14","18","12","11","Int +8, Wis +5","Arcana +8, History +8","","","","","passive Perception 11","any four languages","9 (5,000 XP)",""," Multiattack. The abjurer makes three Arcane Burst attacks. Arcane Burst. Melee or Ranged Spell Attack: +8 to hit, reach 5 ft. or range 120 ft., one target. Hit: 20 (3d10 + 4) force damage. Force Blast. Each creature in a 20-foot cube originating from the abjurer must make a DC 16 Constitution saving throw. On a failed save, a creature takes 36 (8d8) force damage and is pushed up to 10 feet away from the abjurer. On a successful save, a creature takes half as much damage and isn't pushed. Spellcasting. The abjurer casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 16):At will: dancing lights, mage hand, message, prestidigitation2/day each: dispel magic, lightning bolt, mage armor1/day each: arcane lock, banishment, globe of invulnerability, invisibility, wall of force",""," Arcane Ward (Recharge 4–6). When the abjurer or a creature it can see within 30 feet of it takes damage, the abjurer magically creates a protective barrier around itself or the other creature. The barrier reduces the damage to the protected creature by 26 (4d10 + 4), to a minimum of 0, and then vanishes.","","","","","Urban"
"Aboleth","MM","Large","aberration","lawful evil","17 (natural armor)","135 (18d10 + 36)","10 ft., swim 40 ft.","21","9","15","18","15","18","Con +6, Int +8, Wis +6","History +12, Perception +10","","","","","darkvision 120 ft., passive Perception 20","Deep Speech, telepathy 120 ft.","10 (5,900 XP)"," Amphibious. The aboleth can breathe air and water. Mucous Cloud. While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater. Probing Telepathy. If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature."," Multiattack. The aboleth makes three tentacle attacks. Tentacle. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed. Tail. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage. Enslave (3/Day). The aboleth targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.","",""," Detect. The aboleth makes a Wisdom (Perception) check. Tail Swipe. The aboleth makes one tail attack. Psychic Drain (Costs 2 Actions). One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.","","When fighting inside its lair, an aboleth can invoke the ambient magic to take lair actions. On initiative count 20 (losing initiative ties), the aboleth takes a lair action to cause one of the following effects:The aboleth casts phantasmal force (no components required) on any number of creatures it can see within 60 feet of it. While maintaining concentration on this effect, the aboleth can't take other lair actions. If a target succeeds on the saving throw or if the effect ends for it, the target is immune to the aboleth's phantasmal force lair action for the next 24 hours, although such a creature can choose to be affected.Pools of water within 90 feet of the aboleth surge outward in a grasping tide. Any creature on the ground within 20 feet of such a pool must succeed on a DC 14 Strength saving throw or be pulled up to 20 feet into the water and knocked prone. The aboleth can't use this lair action again until it has used a different one.Water in the aboleth's lair magically becomes a conduit for the creature's rage. The aboleth can target any number of creatures it can see in such water within 90 feet of it. A target must succeed on a DC 14 Wisdom saving throw or take 7 (2d6) psychic damage. The aboleth can't use this lair action again until it has used a different one.","The region containing an aboleth's lair is warped by the creature's presence, which creates one or more of the following effects:Underground surfaces within 1 mile of the aboleth's lair are slimy and wet and are difficult terrain.Water sources within 1 mile of the lair are supernaturally fouled. Enemies of the aboleth that drink such water vomit it within minutes.As an action, the aboleth can create an illusory image of itself within 1 mile of the lair. The copy can appear at any location the aboleth has seen before or in any location a creature charmed by the aboleth can currently see. Once created, the image lasts for as long as the aboleth maintains concentration, as if concentrating on a spell. Although the image is intangible, it looks, sounds, and can move like the aboleth. The aboleth can sense, speak, and use telepathy from the image's position as if present at that position. If the image takes any damage, it disappears.If the aboleth dies, the first two effects fade over the course of 3d10 days.","Underdark"
